date,store,product,sales,price
2023-01-01,Store_1,Product_A,29,411.88
2023-01-02,Store_1,Product_A,27,338.74
2023-01-03,Store_1,Product_A,23,283.7
2023-01-04,Store_1,Product_A,25,233.48
2023-01-05,Store_1,Product_A,27,122.56
2023-01-06,Store_1,Product_A,23,388.8
2023-01-07,Store_1,Product_A,31,259.94
2023-01-08,Store_1,Product_A,29,118.67
2023-01-09,Store_1,Product_A,26,252.98
2023-01-10,Store_1,Product_A,23,493.29
2023-01-11,Store_1,Product_A,29,372.12
2023-01-12,Store_1,Product_A,25,280.2
2023-01-13,Store_1,Product_A,19,106.39
2023-01-14,Store_1,Product_A,34,192.36
2023-01-15,Store_1,Product_A,33,344.0
2023-01-16,Store_1,Product_A,22,433.28
2023-01-17,Store_1,Product_A,24,172.89
2023-01-18,Store_1,Product_A,22,402.14
2023-01-19,Store_1,Product_A,21,327.08
2023-01-20,Store_1,Product_A,24,112.53
2023-01-21,Store_1,Product_A,30,258.06
2023-01-22,Store_1,Product_A,34,470.66
2023-01-23,Store_1,Product_A,23,328.18
2023-01-24,Store_1,Product_A,29,308.33
2023-01-25,Store_1,Product_A,26,334.7
2023-01-26,Store_1,Product_A,30,486.1
2023-01-27,Store_1,Product_A,21,218.51
2023-01-28,Store_1,Product_A,33,166.11
2023-01-29,Store_1,Product_A,30,257.95
2023-01-30,Store_1,Product_A,25,217.4
2023-01-31,Store_1,Product_A,28,342.38
2023-02-01,Store_1,Product_A,28,470.52
2023-02-02,Store_1,Product_A,27,440.02
2023-02-03,Store_1,Product_A,26,279.78
2023-02-04,Store_1,Product_A,30,367.54
2023-02-05,Store_1,Product_A,28,366.37
2023-02-06,Store_1,Product_A,21,324.5
2023-02-07,Store_1,Product_A,27,253.17
2023-02-08,Store_1,Product_A,23,202.43
2023-02-09,Store_1,Product_A,28,116.17
2023-02-10,Store_1,Product_A,24,275.73
2023-02-11,Store_1,Product_A,31,180.69
2023-02-12,Store_1,Product_A,30,325.31
2023-02-13,Store_1,Product_A,28,378.21
2023-02-14,Store_1,Product_A,26,315.94
2023-02-15,Store_1,Product_A,22,181.22
2023-02-16,Store_1,Product_A,26,377.91
2023-02-17,Store_1,Product_A,27,452.19
2023-02-18,Store_1,Product_A,26,142.2
2023-02-19,Store_1,Product_A,33,282.61
2023-02-20,Store_1,Product_A,24,453.31
2023-02-21,Store_1,Product_A,21,229.74
2023-02-22,Store_1,Product_A,25,462.73
2023-02-23,Store_1,Product_A,23,208.85
2023-02-24,Store_1,Product_A,21,165.86
2023-02-25,Store_1,Product_A,27,313.64
2023-02-26,Store_1,Product_A,36,207.76
2023-02-27,Store_1,Product_A,25,197.65
2023-02-28,Store_1,Product_A,24,323.24
2023-03-01,Store_1,Product_A,24,261.53
2023-03-02,Store_1,Product_A,25,198.75
2023-03-03,Store_1,Product_A,25,378.52
2023-03-04,Store_1,Product_A,28,499.1
2023-03-05,Store_1,Product_A,32,206.71
2023-03-06,Store_1,Product_A,25,113.22
2023-03-07,Store_1,Product_A,27,238.03
2023-03-08,Store_1,Product_A,30,312.37
2023-03-09,Store_1,Product_A,29,279.11
2023-03-10,Store_1,Product_A,32,132.34
2023-03-11,Store_1,Product_A,34,247.86
2023-03-12,Store_1,Product_A,33,288.12
2023-03-13,Store_1,Product_A,24,493.37
2023-03-14,Store_1,Product_A,29,419.34
2023-03-15,Store_1,Product_A,24,160.29
2023-03-16,Store_1,Product_A,31,443.34
2023-03-17,Store_1,Product_A,26,230.38
2023-03-18,Store_1,Product_A,33,423.8
2023-03-19,Store_1,Product_A,28,239.47
2023-03-20,Store_1,Product_A,27,435.08
2023-03-21,Store_1,Product_A,18,370.28
2023-03-22,Store_1,Product_A,23,316.58
2023-03-23,Store_1,Product_A,28,378.31
2023-03-24,Store_1,Product_A,24,492.87
2023-03-25,Store_1,Product_A,29,306.65
2023-03-26,Store_1,Product_A,31,453.05
2023-03-27,Store_1,Product_A,27,175.48
2023-03-28,Store_1,Product_A,28,438.66
2023-03-29,Store_1,Product_A,22,442.53
2023-03-30,Store_1,Product_A,28,440.37
2023-03-31,Store_1,Product_A,25,474.25
2023-04-01,Store_1,Product_A,32,332.27
2023-04-02,Store_1,Product_A,34,248.91
2023-04-03,Store_1,Product_A,23,294.25
2023-04-04,Store_1,Product_A,22,279.37
2023-04-05,Store_1,Product_A,25,171.53
2023-04-06,Store_1,Product_A,24,246.59
2023-04-07,Store_1,Product_A,28,223.22
2023-04-08,Store_1,Product_A,33,317.02
2023-04-09,Store_1,Product_A,37,200.18
2023-04-10,Store_1,Product_A,26,335.95
2023-04-11,Store_1,Product_A,25,462.44
2023-04-12,Store_1,Product_A,27,273.76
2023-04-13,Store_1,Product_A,29,367.57
2023-04-14,Store_1,Product_A,21,445.67
2023-04-15,Store_1,Product_A,30,328.8
2023-04-16,Store_1,Product_A,26,407.42
2023-04-17,Store_1,Product_A,20,453.4
2023-04-18,Store_1,Product_A,25,399.09
2023-04-19,Store_1,Product_A,25,321.11
2023-04-20,Store_1,Product_A,27,328.92
2023-04-21,Store_1,Product_A,23,207.39
2023-04-22,Store_1,Product_A,29,294.11
2023-04-23,Store_1,Product_A,26,437.69
2023-04-24,Store_1,Product_A,21,472.01
2023-04-25,Store_1,Product_A,22,201.67
2023-04-26,Store_1,Product_A,30,218.12
2023-04-27,Store_1,Product_A,28,154.65
2023-04-28,Store_1,Product_A,24,383.56
2023-04-29,Store_1,Product_A,25,267.91
2023-04-30,Store_1,Product_A,32,202.48
2023-05-01,Store_1,Product_A,23,102.07
2023-05-02,Store_1,Product_A,26,351.16
2023-05-03,Store_1,Product_A,24,454.65
2023-05-04,Store_1,Product_A,25,111.05
2023-05-05,Store_1,Product_A,21,368.81
2023-05-06,Store_1,Product_A,37,231.26
2023-05-07,Store_1,Product_A,31,200.1
